CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> gridAppsInfos: { integrateSwiper page:0,row:0,col:0,com.huawei.hmos.settings,typeid:0. appIndex: 0,uninstallable: false,{ integrateSwiper page:0,row:0,col:1,com.huawei.hmos.photos,typeid:0. appIndex: 0,uninstallable: false,{ integrateSwiper page:0,row:0,col:2,com.huawei.hmos.files,typeid:0. appIndex: 0,uninstallable: true,{ integrateSwiper page:0,row:0,col:3,com.huawei.hmos.calendar,typeid:0. appIndex: 0,uninstallable: true,
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> gridAppsInfos: { integrateSwiper page:1,row:0,col:0,cn.alfadb.netbird.r1probe,typeid:0. appIndex: 0,uninstallable: true,
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> checkBlankPages needCheckBlankPage: false.
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: updatePageCount with pageCount 2 from basic desktop , db true
CST 2026-08-09 17:43:07.363  1510  1510 W A01b01/HOME: PageInfoManager: pageCount changed to 2 from 2 when isOut:false by: updatePageCount
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> lightPagingFiltering length of appListInfo:5 waterfallInfo:0 bundleInfo:5
CST 2026-08-09 17:43:07.363  1510  1510 W A01b01/HOME: LayoutViewModel: updateDesktopLayoutData, reason: lightPagingFiltering, app length: 2
CST 2026-08-09 17:43:07.363  1510  1510 I A01b00/SCB: LocalEventManager: sendLocalEvent, send local event with no receiver
CST 2026-08-09 17:43:07.364  1510  1510 W A01b01/HOME: PageInfoManager: getHomePageIndex dbIndex: 0
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: LauncherStartup: passStep PRELOAD when 1786268587364 and valueInfo:check_appListInfoChange_100_false_2_true
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: PreLoadViewModel --> not need to preload swiper with isNeedPreload is false when appListInfoChange
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: GridSwiper --> pages length: 2, pages: [1,3]
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: SwiperIndicator --> updateValues current: 0 updateValues: 0
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from editMode_pageEdit, size: 5
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: PageEditManager: new pages 1,3
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: PageEditManager: isSimpleLauncherMode false
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: PageEditManager: isBlankPageChange false
CST 2026-08-09 17:43:07.364  1510  1510 I A01b01/HOME: GridLayout2ThemeManager --> REFRESH_PAGE_DESKTOP layoutChange clear REFRESH_PAGE_DESKTOP
CST 2026-08-09 17:43:07.364  1510  1510 W A01b01/HOME: SwiperPageVM --> appListInfoChange and isOuter:false,pageIndex:0,size:4,pageInfo:0:4
CST 2026-08-09 17:43:07.365  1510  1510 I A01b01/HOME: SwiperIndicator --> updateValues current: 0 updateValues: 0
CST 2026-08-09 17:43:07.365  1510  1510 I A01b01/HOME: PageDesktopViewModel --> lightPagingFiltering end by scene: 100031|SCENE_MSG_UPDATE_BMS_CHANGED_APP
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: FolderSnapshotManager --> onBmsChangEvent event: usual.event.PACKAGE_ADDED bundleName: cn.alfadb.netbird.r1probe
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: SmartDockViewModel: localEventListener receive event: launcher.event.APP_INSTALL_BMS_CHANGE_EVENT, params: {"_eventName":"usual.event.PACKAGE_ADDED","_bundleName":"cn.alfadb.netbird.r1probe","_appIndex":0}
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: FormRelationManager --> update the placeholder form information corresponding to the app: cn.alfadb.netbird.r1probe, isOuter: false
CST 2026-08-09 17:43:07.366  1510  1510 W A01b01/HOME: FormRelationManager --> sceneBoardFormRelationFilePath is not exist
CST 2026-08-09 17:43:07.366  1510  1510 W A01b01/HOME: FormRelationManager --> the bundleName not exist:cn.alfadb.netbird.r1probe
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: SmartDockViewModel: regroupDataAppListChange, usual.event.PACKAGE_ADDED, cn.alfadb.netbird.r1probe, 0
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: SmartDockModel: SmartDockViewModel::getDockItemByBundleName: not find in dock
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: SmartDockViewModel: regroupDataAppListChange current app cn.alfadb.netbird.r1probe is not exist in dock
CST 2026-08-09 17:43:07.366  1510  1510 W A01b01/HOME: appInstall_CacheManager --> appAddedOrUpdated finished bundleName: cn.alfadb.netbird.r1probe, appIndex: 0
CST 2026-08-09 17:43:07.366  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
